# title | time | space | correctness invariant | edge cases
Single Number Trace|O(n)|O(1)|XOR is associative and each duplicate pair cancels to zero, leaving the unique unmatched value.|Negative values, unmatched zero, singleton.
First Unique Symbol|O(n)|O(1), ASCII alphabet|The first pass computes complete frequencies. The first index with frequency one in the second pass is precisely the earliest unique character.|Empty, all repeated, unique last character, whitespace.
Rotated Array Locator|O(log n)|O(1)|Distinct values ensure one half around the midpoint is sorted. Its endpoint range determines whether it contains the target; the retained interval always contains any existing target.|Empty input, unrotated input, singleton, target at pivot; duplicates are excluded.
Peak Terrain Index|O(log n)|O(1)|An upward slope at mid forces the unique peak to its right; a downward slope places it at or before mid. The interval always retains the peak and converges to it.|Peak near either endpoint; follow the guaranteed single-peak contract.
Minimum Capacity Scheduler|O(n log S), S total weight|O(1)|Greedily filling each day ships at least as many leading packages as any schedule of the same capacity. Feasibility is monotone, so lower-bound binary search returns the smallest feasible capacity.|One day, one package per day, heavy individual package; compute total in 64 bits.
Kth Largest Stream Value|O(n log(k + 1))|O(k)|After each insertion and optional minimum removal, the heap contains the k largest values seen so far, with multiplicity. Its minimum is the kth largest at completion.|k = 1, k = n, repeated values count separately.
Merge Time Blocks|O(n log n)|O(n)|Sorted starts ensure a new interval can overlap only the last merged interval. Extending that interval preserves the exact union; otherwise a new disjoint component begins.|Empty list, nested intervals, equal endpoints merge because intervals are closed.
Minimum Meeting Rooms|O(n log n)|O(n)|The heap contains end times of meetings active at the current start. Simultaneously active meetings require distinct rooms, and reusing ended rooms achieves that lower bound.|Meeting ending exactly when another starts frees its room; empty input.
Next Greater Circular Value|O(n)|O(n)|The second traversal exposes wrapped successors. Each unresolved index is popped by its first strictly greater successor and pushed only once.|All equal, maximum elements remain -1, singleton, negative values.
Sliding Window Maximum|O(n)|O(k) auxiliary|Expired indices cannot contribute. A newer value at least as large dominates an older one in every future window containing both. The remaining deque front is therefore each window maximum.|k = 1, k = n, equal maxima, negative values.
Subarray Target Count|O(n) expected|O(n)|A subarray ending here has target sum exactly when an earlier prefix equals currentPrefix-target. Counting these earlier prefixes before inserting the current one counts every nonempty subarray exactly once.|Zeros, negatives, empty array, target zero; seed prefix zero once and use 64-bit sums.
Longest Consecutive Chain|O(n) expected|O(n)|Only a value with no predecessor starts a scan, so each distinct chain is traversed once and its full length is measured.|Duplicates, empty array, INT_MIN and INT_MAX must not wrap into one chain.
Coin Combination Minimum|O(amount * number of coins)|O(amount)|For each positive amount, removing the final coin leaves a smaller subproblem. Minimizing over all possible final coins is exhaustive; unreachable states stay at the sentinel.|Amount zero, unreachable amount, coin larger than amount.
Increasing Sequence Length|O(n log n)|O(n)|tails[k] is the smallest possible end of a strictly increasing subsequence of length k+1. Replacing the first tail at least as large preserves these best extension opportunities; appending increases the achievable length.|Empty input, equal values do not extend, decreasing input.
Partition Target Feasibility|O(nS), S half the total sum|O(S)|After each number, possible[s] says whether a subset of processed items sums to s. Descending updates prevent the same item being used twice; a half-total subset is exactly an equal partition.|Odd sum, all zeros, singleton, repeated values.
Decode Message Ways|O(n)|O(1)|Every decoding ends in either a valid nonzero one-digit code or a valid two-digit code from 10 to 26. The two disjoint cases partition all full decodings of each prefix.|Leading zero, 10, 20, invalid 30, consecutive zeros.
Matrix Spiral Reader|O(RC)|O(RC) output|Each sweep emits one boundary of the unvisited rectangle, then removes it. Boundary checks prevent a final row or column from being emitted twice.|No rows, zero columns, single row, single column, rectangular grid.
Connected Region Counter|O(RC)|O(RC)|A flood fill visits exactly the land reachable from its start via four-directional moves. Marking on discovery ensures one visit per cell; each new unvisited land start belongs to a different component.|All water, all land, diagonal contact is disconnected, empty grid; use an explicit stack.
Median of Two Sorted Sequences|O(log(min(n,m) + 1))|O(1)|A partition with half the elements on its left and both left maxima no greater than opposite right minima separates the global sorted order. Its boundary elements determine the median.|One array empty, duplicates, odd/even total; cast before adding central values to avoid overflow.
Maximum Rectangle in Binary Grid|O(RC)|O(C)|At each row the histogram records consecutive ones ending there. Every all-one rectangle has some bottom row, so maximizing histogram area across all rows considers every candidate.|Empty rows, zero-width rows, all zeros, all ones.
Longest Valid Bracket Segment|O(n)|O(n)|The stack records unmatched opening indices and a last-invalid boundary. After a matching close, the distance to the new top is the longest valid suffix ending there; taking all such maxima is sufficient.|Empty, unmatched closing prefix, unmatched opening suffix, nested and adjacent pairs.
Burst Value Optimizer|O(n^3)|O(n^2)|Choose the last value burst inside each open interval. Its boundary neighbors are then fixed; left and right subintervals become independent. Maximizing over the last choice and applying induction on interval width yields the optimum.|Zeros, singleton, virtual boundary ones. The reward includes the burst value itself, as shown by the seeded examples.
Palindrome Minimum Cuts|O(n^2)|O(n^2)|A substring is palindromic when endpoints match and its interior is palindromic. Each optimal prefix partition ends in some palindromic suffix; minimizing over all such suffixes gives the minimum cuts.|Empty string, whole palindrome, all distinct letters; cuts[0] = -1 removes the first-cut offset.
Network Delay Minimum|O((V + E) log(E + 1))|O(V + E)|Positive edge weights make the smallest unsettled distance final in Dijkstra's algorithm. The largest finite shortest distance is when all nodes have received the signal; any infinite one proves failure.|Single source-only graph, disconnected nodes, parallel edges; discard stale heap entries and use wide distances.
Cheapest Route With Stop Limit|O((K + 1)(V + E))|O(V + E)|After r rounds distances are minimum costs using at most r edges. Reading only the preceding round prevents extra edges within one round. K intermediate cities permit K+1 edges.|Source equals destination, zero stops allows only direct edges, disconnected destination, cheaper route with too many stops.
Maximum Job Profit Schedule|O(n log n)|O(n)|In end-time order an optimum either skips the final job or takes it with an optimal prefix ending no later than its start. Binary search finds that compatible prefix and the recurrence considers both possibilities.|Touching jobs are compatible, overlapping alternatives, large accumulated profit needs long.
Regex Pattern Matcher|O(nm)|O(nm)|For ordinary tokens a match consumes one text and pattern character. For star, zero copies remove the pair and positive copies consume a matching text character while retaining star. These exhaustive cases build full-prefix matches.|Empty text and star pairs, empty pattern, dot, repeated token; matching must cover the entire text.
Course Completion Ordering|O(E + V log V)|O(V + E)|Every valid order must next choose a zero-indegree course. Choosing the smallest available one minimizes the first differing position without blocking any feasible completion. Fewer than V outputs proves a cycle.|No prerequisites includes every course in numeric order; cycles return empty; disconnected components.
Reverse String|O(n)|O(n)|Output position i receives input position n-1-i, so all characters appear exactly once in reversed order.|Empty, singleton, palindrome; match the character model in the problem statement.
Two Sum Updated|O(n) expected|O(n)|Before visiting i, the map contains only earlier indices. A found complement therefore creates a distinct-index pair with the target sum; every possible pair is checked when its later index is visited.|Repeated equal values require two indices; negative values; no pair returns an empty array.
Valid Parentheses|O(n)|O(n)|The stack is exactly the unmatched opening sequence. Matching its top enforces nesting, and an empty final stack ensures completeness.|Empty, mismatched types, extra closing bracket, unmatched opening.
